train_horizon,test_horizon,same_horizon_auc,cross_horizon_auc,absolute_drop,percent_drop
1,2,0.9606892395353934,0.8911476982097187,0.0695415413256747,7.238713463607257
1,3,0.9606892395353934,0.8915932552296189,0.06909598430577457,7.192334572123513
1,4,0.9606892395353934,0.8814210537328423,0.07926818580255113,8.251178689259248
1,5,0.9606892395353934,0.9292960088691796,0.0313932306662138,3.267782064613957
2,1,0.8522090792838874,0.9489850427350428,-0.09677596345115536,-11.355894439950855
2,3,0.8522090792838874,0.8880538653265926,-0.035844786042705135,-4.206102342024513
2,4,0.8522090792838874,0.8664525443588884,-0.01424346507500096,-1.671358052999126
2,5,0.8522090792838874,0.907461197339246,-0.05525211805535857,-6.483399367416622
3,1,0.897382920110193,0.9650928665351741,-0.06770994642498107,-7.545268012975632
3,2,0.897382920110193,0.8686796675191816,0.028703252591011474,3.198551248054386
3,4,0.897382920110193,0.9102778707733512,-0.012894950663158156,-1.4369507569382685
3,5,0.897382920110193,0.9355820399113084,-0.038199119801115344,-4.256724631712929
4,1,0.898602276531637,0.9063664255971948,-0.007764149065557779,-0.8640250829905869
4,2,0.898602276531637,0.7767519181585678,0.12185035837306923,13.559987722641747
4,3,0.898602276531637,0.9056398147307239,-0.0070375381990868124,-0.7831649643989126
4,5,0.898602276531637,0.9579711751662972,-0.059368898634660106,-6.606804832924314
5,1,0.9418237250554323,0.8421200416392723,0.09970368341615998,10.586236125055331
5,2,0.9418237250554323,0.7627493606138107,0.17907436444162161,19.013575436431264
5,3,0.9418237250554323,0.8653316380589109,0.07649208699652144,8.12169888712661
5,4,0.9418237250554323,0.8899083528624037,0.051915372193028664,5.512217500145594
