iter	Logloss
0	0.6845252489
1	0.6749498218
2	0.6633117468
3	0.654122727
4	0.6454575727
5	0.6362815576
6	0.6277003584
7	0.6192082007
8	0.6124355499
9	0.6041170439
10	0.5961945268
11	0.588853143
12	0.5818867085
13	0.5751484479
14	0.5677123309
15	0.5609336129
16	0.554121252
17	0.5474386988
18	0.5412827359
19	0.5349985666
20	0.5290994777
21	0.5234391594
22	0.517523808
23	0.5120460675
24	0.5068303922
25	0.5009482238
26	0.495284542
27	0.490478739
28	0.485531035
29	0.4801650451
30	0.4750080427
31	0.470143218
32	0.4664250037
33	0.4619438219
34	0.4577559517
35	0.4536982068
36	0.4493681064
37	0.4459225379
38	0.4416765359
39	0.4380052008
40	0.4342933644
41	0.4306636185
42	0.4268549566
43	0.4237137128
44	0.4208199646
45	0.4162496705
46	0.4129988209
47	0.4101240164
48	0.4065371609
49	0.4031535664
50	0.4004278948
51	0.3974291359
52	0.3950191028
53	0.3915631066
54	0.388830308
55	0.3859108379
56	0.3831171871
57	0.379779906
58	0.3769781767
59	0.3746966317
60	0.3716203078
61	0.3695967041
62	0.3671641196
63	0.3651709333
64	0.3627543938
65	0.3608260307
66	0.3581271792
67	0.3558811261
68	0.3538617957
69	0.3513054885
70	0.3494835585
71	0.3469288908
72	0.3439245854
73	0.3418400794
74	0.3395869177
75	0.3377775819
76	0.3356568165
77	0.3343778432
78	0.3330771382
79	0.3315084495
80	0.3288904812
81	0.3274527649
82	0.3254915265
83	0.3234146166
84	0.3219336809
85	0.3200663538
86	0.3184191787
87	0.3168214825
88	0.3153503195
89	0.3141865952
90	0.3128163373
91	0.3117249125
92	0.3105523341
93	0.3096248676
94	0.3083455568
95	0.3071122423
96	0.305845704
97	0.3043055051
98	0.303400452
99	0.3025426407
100	0.3017110002
101	0.3003756322
102	0.2991550698
103	0.2979476891
104	0.2965441256
105	0.2947049999
106	0.293198619
107	0.2917485326
108	0.2905623948
109	0.2894069649
110	0.2882212318
111	0.2870402999
112	0.2859252666
113	0.284613268
114	0.2840627623
115	0.2831070775
116	0.2819797797
117	0.2805241826
118	0.2793569771
119	0.2783623826
120	0.277330443
121	0.2762470909
122	0.2753729545
123	0.2740342893
124	0.273245979
125	0.2725556962
126	0.2719317072
127	0.2710904866
128	0.2700760771
129	0.268895433
130	0.2678955815
131	0.2670848534
132	0.2663271254
133	0.2658875634
134	0.2645441072
135	0.263379698
136	0.2626728436
137	0.2615239009
138	0.261055274
139	0.2601148482
140	0.2591696896
141	0.2584043649
142	0.2575289879
143	0.2566866559
144	0.2558534689
145	0.2552205684
146	0.2548303126
147	0.254282872
148	0.2536216424
149	0.2529907371
150	0.2523885274
151	0.251548674
152	0.2509691249
153	0.2502972177
154	0.2493894549
155	0.2483372985
156	0.2476921926
157	0.2465884225
158	0.2458611325
159	0.2448768449
160	0.2440729395
161	0.2435017527
162	0.2425045665
163	0.2421119188
164	0.2415506077
165	0.2409601653
166	0.2403831002
167	0.2399572853
168	0.239558025
169	0.2387771677
170	0.2384177058
171	0.2378276531
172	0.2374864758
173	0.2365180418
174	0.2357893552
175	0.2352509388
176	0.2344897064
177	0.2339801117
178	0.2335368872
179	0.2329451551
180	0.2321830666
181	0.2317426927
182	0.231307549
183	0.2307582703
184	0.2297861228
185	0.229091371
186	0.2286359085
187	0.2282386488
188	0.2276601128
189	0.2272028409
190	0.226592692
191	0.2257539328
192	0.2251073104
193	0.2246712196
194	0.2239078463
195	0.223257956
196	0.2227472576
197	0.222472771
198	0.2219738504
199	0.2212360996
200	0.2206957627
201	0.2201490941
202	0.2198051603
203	0.2193769295
204	0.2191106148
205	0.2187482561
206	0.218281742
207	0.2179243563
208	0.2174611975
209	0.2167379153
