dataset,model_name,roc_auc,pr_auc
American,Random Forest,0.8667074022346368,0.4599481100814032
Polish,CatBoost,0.9811664475126014,0.8476588738351236
Taiwan,Random Forest,0.9460055096418734,0.4982266517111852
