Model,Polish_AUC,American_AUC,Taiwan_AUC
Logistic Regression,0.9242822704361168,0.8229166666666666,0.9230371900826446
Random Forest,0.9606892395353934,0.8667074022346368,0.9460055096418734
CatBoost,0.9811664475126014,0.8517807262569832,0.9429924242424242
