train_dataset,test_dataset,train_samples,test_samples,train_features,test_features,roc_auc,baseline_auc,degradation_%
Polish,American,7027,3700,18,18,0.5484384203276396,0.8460777467411544,35.178720579749914
Polish,Taiwan,7027,6819,18,18,0.31641261072614313,0.9300275482093665,65.97814641777549
American,Polish,3700,7027,18,18,0.6034884394137014,0.9439992877492877,36.07109165807134
American,Taiwan,3700,6819,18,18,0.883625962611415,0.9300275482093665,4.989270015419546
Taiwan,Polish,6819,7027,18,18,0.5576573727548999,0.9439992877492877,40.926081196047946
Taiwan,American,6819,3700,18,18,0.5527468736726748,0.8460777467411544,34.66949393224262
