model,cv_auc_mean,cv_auc_std,test_auc,coef_min,coef_max,coef_range,non_zero_coef
Ridge (L2),0.6789252813920739,0.010207570797134389,0.678122847875275,-0.0007100838280404801,0.0018077343654667045,0.0025178181935071845,1
Lasso (L1),0.6789252610368923,0.010207503417391024,0.6781231738313107,-0.000710083836504578,0.0018077331675713047,0.0025178170040758827,1
ElasticNet,0.6789252406364235,0.010207597204489431,0.6781231086401036,-0.0007100838323748184,0.001807733766684332,0.0025178175990591507,1
