Feature,VIF
Attr1,34.17102012217903
Attr2,70.31390555528708
Attr3,7.2653866045456015
Attr4,32.86658781487111
Attr5,1.156611927000893
Attr6,2.54151276125127
Attr7,inf
Attr8,141.80254181359368
Attr9,5.493025059771046
Attr10,74.83581116056818
Attr11,49.04878670128026
Attr12,13.394867397224534
Attr13,34.74094382368669
Attr14,inf
Attr15,1.1247266995528589
Attr16,209.99352849536248
Attr17,135.77748049585568
Attr18,inf
Attr19,123.06841845721958
Attr20,23.44189329638724
Attr21,1.116435806834734
Attr22,53.44132648976676
Attr23,73.34360612370429
Attr24,5.384138293074791
Attr25,4.161886217743201
Attr26,191.2254226115964
Attr27,1.140721692597535
Attr28,9.27565649464227
Attr29,2.402464262501315
Attr30,8.179922676896057
Attr31,33.580176359352286
Attr32,24.29525315024426
Attr33,37.9985403001028
Attr34,5.33890229841535
Attr35,23.763907378755356
Attr36,7.318611710679237
Attr38,30.08168568344288
Attr39,20.033224523976532
Attr40,8.209689553116993
Attr41,1.1862217280196772
Attr42,45.48689677753098
Attr43,38.31925724147424
Attr44,19.056793467744914
Attr45,3.374035275590187
Attr46,32.72588452203833
Attr47,14.867869570510074
Attr48,18.993927100651756
Attr49,31.93864375096904
Attr50,20.36387998774866
Attr51,29.339340747857662
Attr52,24.33944718699571
Attr53,68.54897307850649
Attr54,75.96039353967174
Attr55,1.6649378736976683
Attr56,17.80073415154134
Attr57,1.8696331679258447
Attr58,14.5985393978408
Attr59,1.8653801853936685
Attr60,3.044247509443599
Attr61,1.8671304676645417
Attr62,20.308221150441028
Attr63,45.41698781991322
Attr64,4.235419945472824
