iter	Logloss
0	0.6662068182
1	0.6441467439
2	0.6255961297
3	0.6053186372
4	0.5894885269
5	0.573444008
6	0.5599578251
7	0.5489845803
8	0.5381443759
9	0.5291882965
10	0.5190893794
11	0.5103292569
12	0.4993885172
13	0.4929484486
14	0.4838679305
15	0.4783198994
16	0.4716273955
17	0.4671333772
18	0.4624030006
19	0.4574580496
20	0.4529436994
21	0.447988595
22	0.4450683637
23	0.4417368409
24	0.4390350323
25	0.4355575906
26	0.4300008261
27	0.4265804719
28	0.4219513811
29	0.4198180384
30	0.4175364519
31	0.4143766902
32	0.4108990839
33	0.4085875749
34	0.4071866953
35	0.4048155397
36	0.4031269297
37	0.3993341948
38	0.3963207697
39	0.3932945092
40	0.3912027846
41	0.3900930532
42	0.388148181
43	0.3861664629
44	0.3850310784
45	0.3822025551
46	0.3788800327
47	0.3765587833
48	0.3748587067
49	0.3729018731
50	0.3712735385
51	0.3688899239
52	0.3671788789
53	0.3651329102
54	0.3626584739
55	0.3612697459
56	0.3596388732
57	0.3575473649
58	0.3558194927
59	0.3551791056
60	0.3526289384
61	0.3504922168
62	0.3483163139
63	0.3468675642
64	0.3447646763
65	0.3436101446
66	0.3418331484
67	0.3402191894
68	0.3385726549
69	0.3374171429
70	0.3354969496
71	0.3340892314
72	0.3327027334
73	0.3310469892
74	0.3296922636
75	0.3279874953
76	0.3264810163
77	0.3241223276
78	0.3228714772
79	0.3223042327
80	0.3207191969
81	0.3198556338
82	0.318899606
83	0.3173769469
84	0.316170857
85	0.313997446
86	0.3131395852
87	0.3123686623
88	0.3110527446
89	0.3092865298
90	0.3082036985
91	0.3075663443
92	0.3058236103
93	0.3046049486
94	0.3036651958
95	0.3028768359
96	0.3019136431
97	0.300191457
98	0.2988538511
99	0.297785949
100	0.2966536092
101	0.2953100271
102	0.2941743994
103	0.2935350469
104	0.2923998319
105	0.2910371359
106	0.2901969992
107	0.2894120235
108	0.2882987655
109	0.2872100898
110	0.2862243911
111	0.285213847
112	0.2848681199
113	0.2842589209
114	0.283694479
115	0.2826695331
116	0.2817701161
117	0.2804346667
118	0.2796455736
119	0.2792188591
120	0.2781500893
121	0.2772289485
122	0.2765451098
123	0.2757062363
124	0.2750992496
125	0.2741116879
126	0.273388786
127	0.2720809476
128	0.2705108257
129	0.2694460534
130	0.268733705
131	0.2678191049
132	0.2663850603
133	0.2657471168
134	0.2652479386
135	0.2643791629
136	0.2633022935
137	0.2623525296
138	0.2615416442
139	0.2609963847
140	0.2604243316
141	0.2595796724
142	0.2586426038
143	0.2581557785
144	0.2568151518
145	0.255956079
146	0.2550363509
147	0.2544056022
148	0.2539354787
149	0.2532832707
150	0.2516544209
151	0.2509844453
152	0.2497347652
153	0.2484413836
154	0.2479303163
155	0.247141351
156	0.2461115049
157	0.2452517571
158	0.2445192123
159	0.2435635057
160	0.2421956491
161	0.2415732928
162	0.2404979185
163	0.2400085564
164	0.2390571383
165	0.2382261769
166	0.2374469833
167	0.2366589492
168	0.2355838431
169	0.2346097613
170	0.2341994462
171	0.2334022022
172	0.2326881865
173	0.2314820326
174	0.2301603991
175	0.2296990362
176	0.2278215417
177	0.2269770797
178	0.2259181578
179	0.2248017659
180	0.2241538712
181	0.2232269947
182	0.2226521275
183	0.222024651
184	0.2205503615
185	0.2199927416
186	0.2193654309
187	0.2184431629
188	0.2172023761
189	0.2165844466
190	0.2154203803
191	0.2145587788
192	0.2131014768
193	0.2123724596
194	0.2113835285
195	0.210572619
196	0.2096589502
197	0.2086136055
198	0.2083082555
199	0.2075100181
200	0.2062472963
201	0.2058940593
202	0.2050806043
203	0.2040902821
204	0.2032448366
205	0.2025046814
206	0.2020194049
207	0.2010458377
208	0.2007040104
209	0.1994984787
210	0.1987673283
211	0.1981266031
212	0.1972917732
213	0.1963904118
214	0.1955228385
215	0.1946834383
216	0.1942594143
217	0.1928524704
218	0.192364178
219	0.1917212493
220	0.1910507595
221	0.1897318074
222	0.1892014858
223	0.1884349736
224	0.1877806224
225	0.1870040811
226	0.1861126964
227	0.1853130225
228	0.1845042294
229	0.1834137614
230	0.1824573442
231	0.1815445524
232	0.1807101607
233	0.1800047945
234	0.1791297089
235	0.1784473866
236	0.1778029469
237	0.1768102921
238	0.1759614419
239	0.1757050679
240	0.1751306827
241	0.1746648009
242	0.1737484609
243	0.1730791983
244	0.1723222969
245	0.1716095681
246	0.1709640396
247	0.1704950775
248	0.1702746301
249	0.1696827981
250	0.169110977
251	0.1680873756
252	0.1675158583
253	0.1668782377
254	0.1662436437
255	0.1654228499
256	0.164852414
257	0.1643011006
258	0.163647579
259	0.1631960094
260	0.1627731422
261	0.1620213076
262	0.1615848774
263	0.1611308776
264	0.1604172969
265	0.159961638
266	0.1593453263
267	0.1586252137
268	0.1577089942
269	0.1570936017
270	0.1564190718
271	0.1558177744
272	0.1552475675
273	0.1549051843
274	0.1543975846
275	0.1539949487
276	0.1535250839
277	0.1529068971
278	0.1522264965
279	0.1516948535
280	0.1512285926
281	0.1508035806
282	0.1501030414
283	0.1494939949
284	0.1489616841
285	0.1482900742
286	0.1474186195
287	0.1469713948
288	0.1463868712
289	0.1460375981
290	0.1456372593
291	0.1448163897
292	0.144361722
293	0.1438899518
294	0.1435306921
295	0.1429801606
296	0.1425399198
297	0.1421402478
298	0.1415386418
299	0.1410762857
300	0.1407651986
301	0.1403205935
302	0.1398665397
303	0.1394975426
304	0.1392714846
305	0.1388341461
306	0.1385061806
307	0.1380879412
308	0.1376281241
309	0.1372551364
310	0.1368559624
311	0.13625664
312	0.1358248831
313	0.1354286772
314	0.1349433157
315	0.1343498102
316	0.133994628
317	0.1335594676
318	0.1330949266
319	0.1328781574
320	0.1325190977
321	0.1321308412
322	0.131852966
323	0.1311109836
324	0.1303386376
325	0.1299707766
326	0.1295679005
327	0.1291881062
328	0.1288412073
329	0.1284108563
330	0.1278934843
331	0.1272951165
332	0.1270604187
333	0.1266435017
334	0.1262896391
335	0.1258487312
336	0.1255373482
337	0.1250890577
338	0.1246646675
339	0.1242824354
340	0.124060078
341	0.1235891113
342	0.1232737548
343	0.122925789
344	0.1227104321
345	0.1223069892
346	0.1218582487
347	0.1213645207
348	0.1210300855
349	0.1207388825
350	0.1203261957
351	0.1200808188
352	0.1197152499
353	0.1193270072
354	0.1190634302
355	0.1183670782
356	0.1181692483
357	0.117850958
358	0.1174710205
359	0.1171414133
360	0.1167218469
361	0.1164169956
362	0.1160462871
363	0.1158012815
364	0.1155429005
365	0.1152511494
366	0.1144101089
367	0.1141305126
368	0.1136623117
369	0.1133018791
370	0.1127997361
371	0.1125253276
372	0.1122409471
373	0.1117176641
374	0.1114924721
375	0.111181952
376	0.1108349537
377	0.1105798179
378	0.1101664431
379	0.1097295145
380	0.1094085183
381	0.1092018639
382	0.1089885185
383	0.1087628648
384	0.1081593184
385	0.1078808466
386	0.1074472245
387	0.1071532952
388	0.1068326702
389	0.1065107122
390	0.1063611641
391	0.1060059742
392	0.1057594183
393	0.1054952854
394	0.1050788904
395	0.1047626144
396	0.1044106682
397	0.1042354203
398	0.1039377791
399	0.1036304514
400	0.1030045036
401	0.102742987
402	0.1025332443
403	0.1022721766
404	0.1020549302
405	0.1017587539
406	0.101437484
407	0.1012810138
408	0.1006224395
409	0.1003183549
410	0.09999506732
411	0.09955974576
412	0.09926909224
413	0.09906823498
414	0.09889405529
415	0.09860022536
416	0.09840823879
417	0.09816781249
418	0.09786663771
419	0.09771135161
420	0.09751298152
421	0.09736443987
422	0.0971044626
423	0.0968551077
424	0.096743753
425	0.09657157633
426	0.09635671716
427	0.09608112704
428	0.09581213734
429	0.09556690937
430	0.0951850935
431	0.09485185935
432	0.09437386803
433	0.09402114203
434	0.09377996626
435	0.09357794302
436	0.09333502061
437	0.09316884264
438	0.09281518494
439	0.09255909352
440	0.09210915768
441	0.0918249928
442	0.09157820773
443	0.09126403363
444	0.09108280523
445	0.09079185887
446	0.09057669398
447	0.09044848741
448	0.09015110786
449	0.08981089358
450	0.08941763973
451	0.08921030855
452	0.08906680125
453	0.08873584294
454	0.08843213727
455	0.08820133453
456	0.08798160793
457	0.08764835879
458	0.08734750521
459	0.08711758211
460	0.08695299679
461	0.08672133171
462	0.08653751545
463	0.08633264316
464	0.08614490801
465	0.08598980886
466	0.08582462496
467	0.08559221345
468	0.0854724645
469	0.08518463247
470	0.08502527241
471	0.08482006408
472	0.08455617385
473	0.08445163913
474	0.08430834085
475	0.08411316305
476	0.08401222301
477	0.08383453406
478	0.0836275369
479	0.08343489038
480	0.0832544892
481	0.08296972658
482	0.08279637852
483	0.08258366201
484	0.0824262749
485	0.08220097124
486	0.08204904551
487	0.08186118822
488	0.0816201497
489	0.08141551527
490	0.08117056117
491	0.08105387917
492	0.08079525402
493	0.08058905446
494	0.08035500929
495	0.08014476703
496	0.07995718879
497	0.07978490812
498	0.07956501988
499	0.07933402612
