feature,vif
X9,inf
X16,inf
X18,307.74791942098994
X4,103.05297391521347
X2,54.55664060941428
X17,53.63625208769536
X12,53.04703800264494
X10,42.292833267525836
X13,23.47687655411654
X14,20.96287248005591
X1,19.728032167104317
X11,13.681241126681579
X3,12.316582491638739
X8,8.204341136312845
X7,8.194171554360846
X6,7.49963932022955
X5,4.545976200512536
X15,3.415383844510929
