approach,features,epv,auc,method
Baseline (All 63 features),63,3.4444444444444446,0.7452333990795529,None
VIF Selection (VIF<10),38,5.7105263157894735,0.7788187595879904,Feature removal
Ridge (L2),63,3.4444444444444446,0.7570677186061802,Regularization
Lasso (L1),63,3.4444444444444446,0.7603276353276353,Regularization
Elastic Net,63,3.4444444444444446,0.7533284023668639,Regularization
Forward Selection (AIC),20,10.85,0.7729563883410037,Statistical
