model_name,roc_auc,pr_auc,brier_score,recall_1pct_fpr,recall_5pct_fpr,horizon,timestamp
XGBoost,0.9810294762217839,0.8338803184282548,0.012633470769470035,0.7407407407407407,0.8518518518518519,1,2025-11-12T23:33:59.716884
LightGBM,0.9781941705018629,0.8321504564393846,0.012471387370260614,0.7407407407407407,0.8333333333333334,1,2025-11-12T23:33:59.716897
CatBoost,0.9811664475126014,0.8476588738351236,0.013604322976117994,0.7777777777777778,0.8518518518518519,1,2025-11-12T23:33:59.716900
