model_name,dataset,roc_auc,pr_auc,brier_score,recall_1pct_fpr,recall_5pct_fpr
Logistic Regression,American,0.8229166666666666,0.26465621461460515,0.14450601559639767,0.20833333333333334,0.5416666666666666
Random Forest,American,0.8667074022346368,0.45994811008140324,0.02768808292402234,0.3333333333333333,0.5
CatBoost,American,0.8517807262569832,0.4228811054500009,0.03162197698389112,0.3333333333333333,0.5
